Season,Player,Age,Tm,Pos,GP,G,GPG,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOwin,FOloss,FO%,MoreThan50
2006,Jonathan Cheechoo,25.0, SJS , RW ,82,56,0.6829,37, 93 , 23 , 58 , 30 , 24 , 2 , 11 , 20 , 17 , -   , 317 , 18 ," 1,637 ",19:57,0.0,0.0,0.0,0.0,0.0,True
2009,Alex Ovechkin,23.0, WSH , LW ,79,56,0.7089,54, 110 , 8 , 72 , 36 , 19 , 1 , 10 , 27 , 27 , -   , 528 , 11 ," 1,817 ",23:00,32.0,243.0,8.0,24.0,25.0,True
1977,Guy Lafleur*,25.0, MTL , RW ,80,56,0.7,80, 136 , 89 , 20 , 42 , 14 , -   , 8 , 63 , 17 , -   , 291 , 19 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1981,Charlie Simmer,26.0, LAK , LW ,65,56,0.8615,49, 105 , 31 , 62 , 33 , 23 , -   , 9 , 32 , 17 , -   , 171 , 33 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1994,Sergei Fedorov*,24.0, DET , C ,82,56,0.6829,64, 120 , 48 , 34 , 39 , 13 , 4 , 10 , 42 , 15 , 7 , 337 , 17 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1976,Guy Lafleur*,24.0, MTL , RW ,80,56,0.7,69, 125 , 68 , 36 , 38 , 18 , -   , 12 , 50 , 19 , -   , 303 , 19 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1980,Blaine Stoughton,26.0, HAR , RW ,80,56,0.7,44, 100 , 9 , 16 , 38 , 16 , 2 , 9 , 35 , 8 , 1 , 234 , 24 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1980,Charlie Simmer,25.0, LAK , LW ,64,56,0.875,45, 101 , 47 , 65 , 35 , 21 , -   , 8 , 28 , 17 , -   , 213 , 26 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1984,Michel Goulet*,23.0, QUE , LW ,75,56,0.7467,65, 121 , 62 , 76 , 43 , 11 , 2 , 16 , 46 , 18 , 1 , 239 , 23 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1985,Michel Goulet*,24.0, QUE , LW ,69,55,0.7971,40, 95 , 10 , 55 , 38 , 17 , -   , 6 , 29 , 11 , -   , 257 , 21 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1981,Wayne Gretzky*,20.0, EDM , C ,80,55,0.6875,109, 164 , 41 , 28 , 36 , 15 , 4 , 3 , 69 , 37 , 3 , 261 , 21 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1996,Alexander Mogilny,26.0, VAN , RW ,79,55,0.6962,52, 107 , 14 , 16 , 40 , 10 , 5 , 6 , 31 , 19 , 2 , 292 , 19 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1973,Phil Esposito*,30.0, BOS , C ,78,55,0.7051,75, 130 , 16 , 87 , 31 , 19 , 5 , 11 , 50 , 24 , 1 , 411 , 13 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1985,John Ogrodnick,25.0, DET , LW ,79,55,0.6962,50, 105 , 1 , 30 , 39 , 15 , 1 , 6 , 30 , 17 , 3 , 303 , 18 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1990,Brian Bellows,25.0, MNS , LW ,80,55,0.6875,44, 99 ,-3 , 72 , 33 , 21 , 1 , 9 , 24 , 19 , 1 , 300 , 18 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1982,Dino Ciccarelli*,21.0, MNS , RW ,76,55,0.7237,51, 106 , 14 , 138 , 35 , 20 , -   , 4 , 34 , 17 , -   , 289 , 19 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1990,Cam Neely*,24.0, BOS , RW ,76,55,0.7237,37, 92 , 10 , 117 , 30 , 25 , -   , 12 , 24 , 13 , -   , 271 , 20 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1993,Kevin Stevens,27.0, PIT , LW ,72,55,0.7639,56, 111 , 17 , 177 , 29 , 26 , -   , 5 , 38 , 18 , -   , 326 , 17 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1981,Rick Kehoe,29.0, PIT , RW ,80,55,0.6875,33, 88 ,-9 , 6 , 35 , 20 , -   , 5 , 14 , 19 , -   , 299 , 18 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1988,Jimmy Carson,19.0, LAK , C ,80,55,0.6875,52, 107 ,-19 , 45 , 33 , 22 , -   , 7 , 26 , 26 , -   , 264 , 21 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1986,Glenn Anderson*,25.0, EDM , RW ,72,54,0.75,48, 102 , 38 , 90 , 34 , 18 , 2 , 9 , 34 , 14 , -   , 243 , 22 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1985,Tim Kerr,25.0, PHI , RW ,74,54,0.7297,44, 98 , 29 , 57 , 33 , 21 , -   , 9 , 31 , 13 , -   , 267 , 20 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1983,Al Secord,24.0, CBH , LW ,80,54,0.675,32, 86 , 34 , 180 , 34 , 20 , -   , 6 , 29 , 3 , -   , 239 , 23 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1993,Brett Hull*,28.0, STL , RW ,80,54,0.675,47, 101 ,-27 , 41 , 25 , 29 , -   , 2 , 18 , 29 , -   , 390 , 14 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1984,Glenn Anderson*,23.0, EDM , RW ,80,54,0.675,45, 99 , 41 , 65 , 39 , 11 , 4 , 11 , 33 , 11 , 1 , 277 , 20 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1993,Dave Andreychuk,29.0, TOT , LW ,83,54,0.6506,45, 99 , 4 , 56 , 22 , 32 , -   , 4 , 23 , 22 , -   , 310 , 17 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1981,Wayne Babych,22.0, STL , RW ,78,54,0.6923,42, 96 , 14 , 93 , 40 , 14 , -   , 7 , 30 , 12 , -   , 306 , 18 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1987,Jari Kurri*,26.0, EDM , RW ,79,54,0.6835,54, 108 , 35 , 41 , 37 , 12 , 5 , 10 , 39 , 13 , 2 , 211 , 26 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1987,Mario Lemieux*,21.0, PIT , C ,63,54,0.8571,53, 107 , 13 , 57 , 35 , 19 , -   , 4 , 34 , 19 , -   , 267 , 20 ,0,0,0.0,0.0,0.0,0.0,0.0,True
2001,Joe Sakic*,31.0, COL , C ,82,54,0.6585,64, 118 , 45 , 30 , 32 , 19 , 3 , 12 , 34 , 27 , 3 , 332 , 16 ," 1,887 ",23:01,0.0,0.0,0.0,0.0,0.0,True
1989,Wayne Gretzky*,28.0, LAK , C ,78,54,0.6923,114, 168 , 15 , 26 , 38 , 11 , 5 , 5 , 62 , 42 , 10 , 303 , 18 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1984,Tim Kerr,24.0, PHI , RW ,79,54,0.6835,39, 93 , 30 , 29 , 45 , 9 , -   , 5 , 31 , 8 , -   , 286 , 19 ,0,0,0.0,0.0,0.0,0.0,0.0,True
2006,Jaromir Jagr,33.0, NYR , RW ,82,54,0.6585,69, 123 , 34 , 72 , 30 , 24 , -   , 9 , 41 , 28 , -   , 368 , 15 ," 1,810 ",22:05,0.0,0.0,0.0,0.0,0.0,True
1990,Pat LaFontaine*,24.0, NYI , C ,74,54,0.7297,51, 105 ,-13 , 38 , 39 , 13 , 2 , 8 , 24 , 27 , -   , 286 , 19 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1982,Rick Vaive,22.0, TOR , RW ,77,54,0.7013,35, 89 , 12 , 157 , 37 , 12 , 5 , 6 , 28 , 6 , 1 , 267 , 20 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1992,Kevin Stevens,26.0, PIT , LW ,80,54,0.675,69, 123 , 8 , 254 , 35 , 19 , -   , 4 , 46 , 23 , -   , 325 , 17 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1966,Bobby Hull*,27.0, CBH , LW ,65,54,0.8308,43, 97 ,0, 70 , 31 , 22 , 1 , 7 ,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,True
1978,Mike Bossy*,21.0, NYI , RW ,73,53,0.726,38, 91 , 31 , 6 , 28 , 25 , -   , 5 , 23 , 15 , -   , 235 , 23 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1975,Guy Lafleur*,23.0, MTL , RW ,70,53,0.7571,66, 119 , 52 , 37 , 36 , 15 , 2 , 11 , 39 , 26 , 1 , 260 , 20 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1977,Marcel Dionne*,25.0, LAK , C ,80,53,0.6625,69, 122 , 10 , 12 , 38 , 14 , 1 , 5 , 36 , 32 , 1 , 378 , 14 ,0,0,0.0,0.0,0.0,0.0,0.0,True
